,Repository,Answer,Guidelines
D11,cockroachdb/cockroach,"IMO, a TODO in code on its own isn't a record of work to do /  expectation that it will be done but rather just writing down how it might be done if it is picked up, so if I come back to this code later, there's a record of what i was thinking [C3] w.r.t how to improve it. An issue in the backlog is the actual ""should do this thing"" record, that could cause it to actually get done. [I7] So if I'm writing some code and think we should improve it later, I'd a) leave a todo and b) file an issue to implement what's in the TODO.[B3] We we've done this in the past where we grep'ed through the TODOs in the PRs for a new feature and filed issues for the ones we actually wanted to come back and do.","*C3. If it acts as notes for yourself
*I7. If it can't be forgotten
*B3. If it explains code and can’t be forgotten"
D12,cockroachdb/cockroach,"Definitely interested in what the preferences are in the crdb code base. In my programming in general, TODO comments are not only for documenting 'debt' but also giving myself permission to keep moving towards the overall goal despite there being problems I can't solve at the moment. [C3] And also signalling to future readers some of the bits I wasn't happy with. [C1]","*C1. If it acts as hints to the reader
*C3. If it acts as notes for yourself"
D13,cockroachdb/cockroach,I write TODOs when I have thoughts about how the code could be better [C3]. They aren’t always debt. If they are debt that has causes known problems they do likely deserve an issue too [I2]. One controversy at crl is whether or not we want to cross reference code and issues.,"*C3. If it acts as notes for yourself
*I2. If it has high priority"
D14,cockroachdb/cockroach,A compelling argument against referencing issues in the code is it means that GitHub implicitly becomes part of the code base. A pragmatic reason to do it is can unify context.,-
D15,hashicorp/consul,"a) When do you recommend documenting TD using code comments?

Generally I will use TODO (and occasionally FIXME) in code comments as notes to myself [C3]. As I am reading code to learn it, or when I am writing code, I will often come across things that look strange or look like they could be improved. I don't want to lose my focus on my primary objective, but I also don't want to forget about the thing I just saw (which is likely since I'm focused on something else). So I will write a short TODO to myself to remind myself later. Often I will see the notes I left for myself when I am reviewing my own code before opening a github pull request.

Sometimes I will resolve the TODOs before opening the PR, sometimes I'll create a separate branch to work on resolving it, and sometimes I will leave the comment for a later time. If I leave it I will often try to improve the wording to make it more useful to anyone else who might read it.

I would generally recommend using code comments for things that are:
low priority - not likely causing any problems for users [C2]
small effort to fix - not likely to be scheduled as part of sprint planning [C4]
I think the intent of inline code comments is not to track work, but to act as hints to the reader. If I've noticed something strange about the code a TODO or FIXME can help the next reader to be less confused. [C1] In the example you linked, the new struct is very small, so it might not be clear to readers why it exists. By adding a TODO it gives them a hint about what other fields might be added to that struct.

b) When do you recommend opening an issue?

Generally I will open an issue if I think the technical debt issue has any of the following properties:
high priority - it is or could cause problems for users [I2]
medium or large effort to fix - needs to be scheduled as part of sprint planning since it will be worked on instead of other prioritized work [I4]
ambiguous - the fix may require more discussion if there are multiple options for fixing the problem [I3]
can't be fixed immediately - the change will be necessary later, but is not something that can be done immediately for some reason [I4]

I also find that sometimes issues that start as code comments, after some time if I notice patterns of common problems in multiple places, I might choose to open an issue about it to call more attention to the problem. https://github.com/hashicorp/consul/issues/9983 is an example of such a case.","*C1. If it acts as hints to the reader
*C2. If it has low priority
*C3. If it acts as notes for yourself
*C4. If it requires small effort to fix
*I2. If it has high priority
*I3. If it requires discussion
*I4. If it requires medium/large effort to fix"
D16,elastic/kibana,"a) When do you recommend documenting TD using code comments?

A code comment will only get resolved if someone else happens to be in the same part of the code and cares about it. Generally, you can't assume that it'll ever get fixed unless you have some specific process in place for resolving these (which I've never seen in practice). So this can only be made for really little things that aren't worth putting into a backlog or things that you know will never get resolved anyways [C2] (due to political or technical issues, so it's better to not clutter the backlog). 

b) When do you recommend opening an issue?
 
 Whenever you're consciously taking on tech debt. [I7] This should be the default and, though I've used them, code comments with ""TODO"" and the like should be discouraged.","*C2. If it has low priority
*I7. If it can't be forgotten"
D17,OpenRCT2/OpenRCT2,"a) If it's something fairly small (which will take <1h), but that you don't want or can't spend time doing at that moment [C4]
b) When it's part of a major refactor that requires multiple steps/milestones or to outsource tasks in a more organized manner [I1]","*C4. If it requires small effort to fix
*I1. If it spans to multiple places"
D18,OpenRCT2/OpenRCT2,"a) when want to highlight something in the code review, particularly in cases where some limitation is explained used n other part of code [C8]
b) when I spot some problem that I don't have time to fix now [I4]; when the problem is fairly benign or simple and makes a good first issue [I6]","*C8. If it highlights TD for review
*I4. If it requires medium/large effort to fix
*I6. If it is a good first issue"
D19,OpenRCT2/OpenRCT2,"IMO: To-do comments are almost always about something that you think needs refactoring at some point, but is not directly related to what you are currently trying to achieve.
a) When it's something that is not a problem. [C2] Leaving a TD comment in the code can be useful when someone else bumps into the same code. [C1]
b) When something spans multiple source files, sometimes taking hours to do [I1]","*C1. If it acts as hints to the reader
*C2. If it has low priority
*I1. If it spans to multiple places"
D20,OpenRCT2/OpenRCT2,"a) when it's not part of the current pr but noticed when doing it. [C1]
b) when i want to encourage others to also perform some refactoring or want to document a large multi pr refactoring job. [I1]","*C1. If it acts as hints to the reader
*I1. If it spans to multiple places"
D21,tektoncd/pipeline,"a) When do you recommend documenting TD using code comments?

I would recommend TODO comments when I want to give the reader of the code some pointer about some change we'd like to make to the code they're reading [C1]. A good TODO links to an issue describing the issue in more detail. [B2]

b) When do you recommend opening an issue?

If I expect any discussion about some piece of technical debt [I3], or want to track resolution of that debt (which is nearly always) [I8], I want that tracked in an issue. Issues give you an opportunity to assign the issue, close the issue, refer to the issue by number, use markdown and links to refer to other discussions, etc. Issues are better than code comments in nearly every way, except that they aren't living next to the code in question. ","*C1. If it acts as hints to the reader
*I3. If it requires discussion
*I8. If you track resolution
*B2. If it requires discussion and locality"
D22,cockroachdb/cockroach,"I use code comments when the technical debt primarily has to do with the code, such as a refactor, or when the existence of the technical debt is important to understand the following code block. [C6] In your first link, it's confusing to the reader to see that most of the tests run in both enterprise and sinkless mode, but that test runs only in enterprise mode. Is this feature meant to be used only in enterprise mode? If not, why is there no sinkless test? Adding the TODO is necessary to make the file readable. I might also have added an issue.

I open issues when I don't have a clear sense of how the problem I'm describing relates to the code, [I1] or in a collaborative project if the code isn't in a section I ""own"". I also open issues if it's important to document more visibly that there's a known bug or limitation with the software. [I7]","*C6. If it clarifies smaller implementation
*I1. If it spans to multiple places
*I7. If it can't be forgotten"
D23,rust-lang/rust,"1) When do you recommend documenting TD using code comments?

I think it's always better to document hacks / specificities / unintuitive behaviour via comments, to help any other programmer (or your future self :) ) that would pass by the piece of code you wrote, and debug a related issue. [C1] Locality is important, so having information such as a comment as close as possible to the problematic piece of code makes all the difference for anyone who'll be dealing with unexplained behaviour in this source file / function / code block.

So I'd say documenting TD with code comments is important when they're about some piece of technical debt that is essentially non ideal behaviour, but self-contained, something that could certainly lead to further debugging if not highlighted by the comment. [C5]

2) When do you recommend opening an issue?

Opening an issue is always better in the case of a community project, where the issue is far more visible / searchable than a code comment. [I7] It's also a way for other members of the project to put in their advice about the issue being discussed. [I3] I'd say it's less about a specific hacky code block, and more about some more abstract design decision [I1], or like the issue you linked, something where a decision needs to be taken by project maintainers (in this case, whether to add more dependencies to the compiler development bootstrap toolchain).","*C1. If it acts as hints to the reader
*C5. If it has a local scope
*I1. If it spans to multiple places
*I3. If it requires discussion
*I7. If it can't be forgotten"
D24,vitessio/vitess,"a) When do you recommend documenting TD using comments?

I typically* try to limit commits to follow only one objective. i.e.
- A bug fix
- A refactor
- A new feature

Mixing and matching makes it hard to trace problems. I believe the TD comment you mentioned was introduced by a refactor, which commented on a previously existing bug/opportunity for future enhancement.

* For more trivial examples, I am sure I frequently break this. Which is why I said I try.

b) When do you recommend opening an issue?

I typically open issues when I am looking for either volunteers to work on it [I6], solicit more input [I3], or want to make others aware that it is a known issue. [I7]

In comparing the two that you mentioned: the code comment had a viable workaround, and I think in my head I was either thinking that it was not easy for new volunteers or because of the viability did not need others to be as aware of it. I think in my head it was more of a housekeeping chore to acknowledge it was not in an ideal state. [I7]","*I3. If it requires discussion
*I6. If it is a good first issue
*I7. If it requires visibility"
D25,cockroachdb/cockroach,"The usual rule of thumb I use is that TODOs should be for short, one-off examples of tech debt that aren't a high priority to tackle rightaway [C2] [C5].. Anything larger that affects multiple parts of the code base should be an issue [I1], as well as anything that needs to be done with some level of certainty [I2].","*C2. If it has low priority
*C5. If it has a local scope
*I1. If it spans to multiple places
*I2. If it has high priority"
D26,elastic/kibana,"The problem with technical debt is often that everyone wants to get rid of it at some point, but nobody is particularly interested in actually doing the work. It is usually not easy (tech debt exists for a reason, if a better solution would have been easy, the original implementor would have chosen it), and it does not fit into the time planning of software teams who need to release visible improvements and new features.

a) I would recommend documenting TD using code comments when the information helps to understand the code by giving additional context for either myself or a colleague in the future, but is only necessary information in this very local context. [C1][C3][C5] In the example you picked I didn't have the time to test if the if-condition could ever be met, but I know that I would need to return well-formed data in either case. The fact that I didn't dig deeper about how likely the error case is, is only interesting to anyone if there's a problem in that code path at some point, and then the comment will be read during the debugging / fixing process. Other than that, it simply doesn't matter.

In my opinion, code comments are the best way to give contextual information in code because they are most likely to survive time and be updated when the code changes. Pointing out tech debt is only one example for this.

b) I would recommend opening TD issues whenever it is decided that a certain solution is good enough to be shipped, and everyone agrees that it needs to be improved later, either in a code review with colleagues, or by a manager / tech lead. Then the issue serves as documentation of the decision to leave the non-perfect state for now, and as a reminder of the tech debt as such. [I7] Opening tech debt issues also helps to get data about the code quality of a project that can be used to convince management to invest in either cleaning-up time, or a refactor / rewrite of the code. [I8] In my experience tech debt issues are never just fixed in the same way as other bugs are. They are more a political /statistical instrument, if that makes sense?","*C1. If it acts as hints to the reader
*C3. If it acts as notes for yourself
*C5. If it has a local scope
*I7. If it requires visibility
*I8. If it is used to track resolution"
D27,,"Jumping straight into it:
a) I typically leave code comments to indicate future work that needs to be done when the TD in question is isolated to a particular piece of code. I find that usually these make more sense to read in the context of the code. Sometimes if the work item is large, it may additionally warrant an issue to be filed so that the work can be tracked as a larger unit of work. I also find it useful to leave TODOs as an explicit note of an area of code that can be improved, but where I did not have time to refine it (or it did not make sense to prioritize). This is especially useful in terms of code reviews.

b) I'll typically rely only on issues when:
- there isn't a specific part of the code that the TD is addressing
- the TD needs to be tackled as a larger project involving several engineers
- the TD leads to some product issue. Filing an issue makes it easier to discuss with others and reference.

That being said, I usually use the one that is more convenient at the time. So these are certainly not hard-and-fast rules that I always obey.",*C5. If it has a local scope
